LOAN_ID,snapshot_date,nps_score,nps_category,BALANCE,TOTAL_PAID,ARREARS,DAYS_PAST_DUE,BALANCE_DUE_STATUS,ACCOUNT_STATUS_L2,happy_with_device_quality,happy_with_service,experienced_payment_delay,difficulty_getting_support,phone_locked_despite_payment,PRODUCT_NAME,LOAN_TERM,dpd_bucket,payment_performance
recVlyKoInePjldoZ,2025-12-30,10.0,Promoter,53359.0,11200,0.0,0,advance,Active,,,,,,Apple-iPhone-11-128GB,12M,Current,Unknown
recVmKgaSvaauKVj0,2025-12-30,0.0,Detractor,44400.0,39879,44400.0,398,Arrears,PAR 30,,,,,,Apple-iPhone-11-64GB,12M,90+ DPD,Poor
recVn1YPpMEJoJnFL,2025-12-30,10.0,Promoter,76799.0,43800,11519.0,36,Arrears,PAR 30,Yes,Yes,No,No,No,Apple-iPhone-12-Pro-Max-256GB,12M,31-60 DPD,Poor
recVpz33OSKrdNUw6,2025-12-30,3.0,Detractor,0.0,68859,0.0,0,up to date,Paid Off,,,,,,Samsung-Note-20-128GB,12M,Current,Good
recVqg2XKRju1yVCl,2025-12-30,10.0,Promoter,46500.0,18439,0.0,0,advance,Active,,,,,,Samsung-Note-20-128GB,12M,Current,Unknown
recVt1rIFwtV2QRDa,2025-12-30,0.0,Detractor,47520.0,9969,13860.0,92,Arrears,Return,,,,,,Samsung-Note-20-128GB,12M,90+ DPD,Poor
recVtWOJHAqYZhrpO,2025-12-30,10.0,Promoter,0.0,51499,0.0,0,advance,Paid Off,Yes,Yes,No,No,Yes,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Unknown
recVusXKxCO2ZTRuO,2025-12-30,10.0,Promoter,26390.0,26419,0.0,0,advance,Active,,,,,,Samsung-Galaxy-S20-Plus-5G-128GB,12M,Current,Unknown
recVuvbZpm1rOzA1Z,2025-12-30,6.0,Detractor,40800.0,8699,40800.0,339,Arrears,Return,,,,,,Samsung-Galaxy-A42-5G-128GB,12M,90+ DPD,Poor
recVvBc6MVLeKwcSZ,2025-12-30,8.0,Passive,0.0,28999,0.0,0,up to date,Paid Off,Yes,Yes,No,No,,Samsung-Galaxy-S20-Plus-5G-128GB,12M,Current,Good
recVwPnVYh3TNbcFW,2025-12-30,10.0,Promoter,50160.0,14779,2280.0,13,Arrears,PAR 7,,,,,,Samsung-Note-20-128GB,12M,1-30 DPD,Fair
recVwq5rFEr7zJrQw,2025-12-30,10.0,Promoter,20740.0,50479,8540.0,42,Arrears,PAR 30,Yes,Yes,,,,Samsung-Note-10-Plus-256GB,12M,31-60 DPD,Poor
recVxeICbbG8NQcNV,2025-12-30,10.0,Promoter,45000.0,23299,16400.0,85,Arrears,PAR 30,Yes,Yes,,,,Samsung-Note-10-Plus-256GB,12M,61-90 DPD,Poor
recVyEEoeRMuO3okx,2025-12-30,10.0,Promoter,47800.0,42249,0.0,0,advance,Active,Yes,Yes,No,No,No,Samsung-Note-20-Ultra-128GB,12M,Current,Unknown
